Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Username,Avatar,id
1,2,2,2,1,1,1,2,2,1,NeeShar,2,1
1,1,2,1,1,2,1,2,1,2,Harsh,2,2
1,2,2,1,2,1,1,2,2,1,AMAN,1,3
1,2,1,1,1,2,1,2,1,2,Vishal,4,4
1,2,2,2,1,2,2,1,2,1,Aniket,8,5
2,2,1,1,1,2,1,1,2,1,meeku,2,6
2,1,2,1,2,1,2,1,2,1,Dhruv,2,7
2,2,2,2,2,2,2,2,2,2,yash,2,8
2,2,1,1,2,2,2,2,2,2,prompto_sapien,2,9
1,1,2,1,1,2,1,2,1,1,Baigan,2,12
1,2,1,2,1,2,1,2,1,2,NEO,6,13
1,2,1,2,2,1,2,2,2,1,Morepheus,3,14
1,2,2,2,1,2,2,2,2,1,Trinity,2,15
1,2,1,1,2,1,2,1,2,1,hathi,5,16
2,2,2,2,2,2,2,2,2,2,hey,5,17
1,1,2,2,2,1,1,1,1,1,raju,5,18
1,1,1,1,1,1,1,1,1,1,USERNAME,5,19
1,1,1,1,1,1,1,1,1,1,hey,5,20
1,2,1,2,1,2,1,2,1,1,neeraj,1,21
1,2,1,2,1,2,1,2,1,1,LEO,3,22
1,2,1,2,1,2,1,2,1,1,nee9013,3,23
1,2,1,1,1,1,2,1,2,1,nee9013,6,24
1,2,2,1,2,1,2,1,2,1,yolo,7,25
1,2,1,2,1,2,1,1,1,1,ll,7,26
1,1,1,1,1,1,2,1,2,1,namo,6,27
1,2,1,1,2,1,1,1,1,1,hoo,8,28
1,1,1,1,1,1,1,1,1,1,jj,2,29
1,1,1,1,2,1,2,1,1,1,jj,7,30
1,1,1,1,2,1,2,1,2,1,jj,4,31
1,1,2,1,2,1,1,1,2,1,llm,5,32
1,2,1,2,1,2,1,1,2,1,hames,3,33
1,2,1,2,1,2,1,1,1,1,hello,5,34
1,2,1,2,1,2,1,1,1,1,god_plan,6,35
1,1,2,1,1,2,1,2,2,1,neeraj_official,1,36
